board_id,platform,company,url,fail_count,fail_reason,last_checked
ashby:aviator,ashby,Aviator,https://jobs.ashbyhq.com/aviator,1,HTTP 404,2026-08-08T07:19:30.469055+00:00
ashby:contextual,ashby,Contextual AI,https://jobs.ashbyhq.com/contextual,1,HTTP 404,2026-06-19T05:45:44.905457+00:00
ashby:continue,ashby,Continue,https://jobs.ashbyhq.com/continue,1,HTTP 404,2026-07-24T04:02:42.643745+00:00
ashby:laminar,ashby,Laminar,https://jobs.ashbyhq.com/laminar,0,HTTP 404,2026-05-11T21:38:51.828172+00:00
ashby:lime,ashby,Lime,https://jobs.ashbyhq.com/lime,0,HTTP 404,2026-05-11T22:00:51.235451+00:00
ashby:lindy,ashby,Lindy,https://jobs.ashbyhq.com/lindy,6,HTTP 404,2026-07-09T04:34:13.369303+00:00
ashby:machinify,ashby,Machinify,https://jobs.ashbyhq.com/machinify,0,HTTP 404,2026-05-11T21:38:51.658744+00:00
ashby:statsig,ashby,Statsig,https://jobs.ashbyhq.com/statsig,1,HTTP 404,2026-07-09T04:33:29.049937+00:00
ashby:tinybird,ashby,Tinybird,https://jobs.ashbyhq.com/tinybird,0,HTTP 404,2026-05-11T22:04:41.314066+00:00
ashby:travelperk,ashby,Travelperk,https://jobs.ashbyhq.com/travelperk,0,HTTP 404,2026-05-11T22:04:41.382346+00:00
greenhouse:10xgenomics,greenhouse,10x Genomics,https://boards.greenhouse.io/10xgenomics,1,HTTP 404,2026-08-15T06:54:33.645522+00:00
greenhouse:ada,greenhouse,Ada,https://job-boards.greenhouse.io/ada,0,HTTP 404,2026-05-11T22:04:33.469614+00:00
greenhouse:aerospike,greenhouse,Aerospike,https://boards.greenhouse.io/aerospike,1,HTTP 404,2026-08-08T07:14:26.757887+00:00
greenhouse:alan,greenhouse,Alan,https://boards.greenhouse.io/alan,0,HTTP 404,2026-05-11T21:46:51.794895+00:00
greenhouse:alchemy,greenhouse,Alchemy,https://boards.greenhouse.io/alchemy,0,HTTP 404,2026-05-11T21:38:52.063869+00:00
greenhouse:alltrails,greenhouse,AllTrails,https://boards.greenhouse.io/alltrails,0,HTTP 404,2026-05-11T21:46:52.048315+00:00
greenhouse:alma,greenhouse,Alma,https://boards.greenhouse.io/alma,1,HTTP 404,2026-07-08T07:52:49.939473+00:00
greenhouse:anchore,greenhouse,Anchore,https://boards.greenhouse.io/anchore,0,HTTP 404,2026-05-11T21:46:52.285984+00:00
greenhouse:andela,greenhouse,Andela,https://boards.greenhouse.io/andela,0,HTTP 404,2026-05-11T21:46:52.317076+00:00
greenhouse:angellist,greenhouse,Angellist,https://boards.greenhouse.io/angellist,0,HTTP 404,2026-05-11T21:46:52.346626+00:00
greenhouse:angi,greenhouse,Angi,https://boards.greenhouse.io/angi,0,HTTP 404,2026-05-11T21:38:52.252735+00:00
greenhouse:anomali,greenhouse,Anomali,https://boards.greenhouse.io/anomali,0,HTTP 404,2026-05-11T21:46:52.384184+00:00
greenhouse:appliedintuition,greenhouse,Applied Intuition,https://boards.greenhouse.io/appliedintuition,1,HTTP 404,2026-06-03T00:09:02.075407+00:00
greenhouse:artefactus,greenhouse,Artefactus,https://boards.greenhouse.io/artefactus,1,HTTP 404,2026-09-12T07:16:08.395369+00:00
greenhouse:artera,greenhouse,Artera,https://boards.greenhouse.io/artera,0,HTTP 404,2026-05-11T21:46:52.687057+00:00
greenhouse:artisanai,greenhouse,Artisan,https://boards.greenhouse.io/artisanai,0,HTTP 404,2026-05-11T21:46:52.716132+00:00
greenhouse:asteraearlycareer2026,greenhouse,asteraearlycareer2026,https://boards.greenhouse.io/asteraearlycareer2026,1,HTTP 404,2026-05-24T15:20:58.404606+00:00
greenhouse:astronomer,greenhouse,Astronomer,https://boards.greenhouse.io/astronomer,0,HTTP 404,2026-05-11T21:46:52.781710+00:00
greenhouse:athelas,greenhouse,Athelas,https://boards.greenhouse.io/athelas,0,HTTP 404,2026-05-11T21:46:52.806434+00:00
greenhouse:atlassian,greenhouse,Atlassian,https://boards.greenhouse.io/atlassian,0,HTTP 404,2026-05-11T21:46:52.833711+00:00
greenhouse:aumni,greenhouse,Aumni,https://boards.greenhouse.io/aumni,0,HTTP 404,2026-05-11T21:46:52.863641+00:00
greenhouse:avalabs,greenhouse,Ava Labs,https://boards.greenhouse.io/avalabs,0,HTTP 404,2026-05-11T21:50:21.207018+00:00
greenhouse:bitly,greenhouse,Bitly,https://boards.greenhouse.io/bitly,9,HTTP 404,2026-09-12T07:12:16.885710+00:00
greenhouse:blackforestlabs,greenhouse,Black Forest Labs,https://job-boards.greenhouse.io/blackforestlabs,1,HTTP 404,2026-09-12T07:17:06.158185+00:00
greenhouse:capitalrx,greenhouse,Capitalrx,https://boards.greenhouse.io/capitalrx,1,HTTP 404,2026-07-24T04:02:45.200096+00:00
greenhouse:carecom,greenhouse,Care.com,https://boards.greenhouse.io/carecom,1,HTTP 404,2026-06-04T17:35:33.474322+00:00
greenhouse:cdpjobs,greenhouse,Coinbase Developer Platform,https://boards.greenhouse.io/cdpjobs,0,HTTP 404,2026-05-11T21:38:53.140886+00:00
greenhouse:creditkarma,greenhouse,Credit Karma,https://boards.greenhouse.io/creditkarma,9,HTTP 404,2026-07-24T03:50:29.347020+00:00
greenhouse:deepmind,greenhouse,DeepMind,https://boards.greenhouse.io/deepmind,1,HTTP 404,2026-09-12T07:07:07.079976+00:00
greenhouse:embroker,greenhouse,Embroker,https://boards.greenhouse.io/embroker,10,HTTP 404,2026-09-12T07:12:18.041257+00:00
greenhouse:factorial,greenhouse,Factorial,https://job-boards.greenhouse.io/factorial,0,HTTP 404,2026-05-11T22:04:41.221901+00:00
greenhouse:galileofinancialtechnologies,greenhouse,galileofinancialtechnologies,https://boards.greenhouse.io/galileofinancialtechnologies,1,HTTP 404,2026-07-24T03:39:25.423001+00:00
greenhouse:genies,greenhouse,genies,https://boards.greenhouse.io/genies,0,HTTP 404,2026-05-11T21:40:05.341426+00:00
greenhouse:glossgenius,greenhouse,glossgenius,https://boards.greenhouse.io/glossgenius,1,HTTP 404,2026-09-12T07:08:56.226245+00:00
greenhouse:grammarly,greenhouse,Grammarly,https://boards.greenhouse.io/grammarly,0,HTTP 404,2026-05-11T21:38:54.301876+00:00
greenhouse:insightly,greenhouse,Insightly,https://boards.greenhouse.io/insightly,7,HTTP 404,2026-06-19T05:34:36.666287+00:00
