board_id,platform,company,url,fail_count,fail_reason,last_checked
greenhouse:a16zcryptoteam,greenhouse,a16zcryptoteam,https://boards.greenhouse.io/a16zcryptoteam,1,HTTP 404,2026-08-21T10:04:34.081742+00:00
greenhouse:abclabs,greenhouse,abclabs,https://boards.greenhouse.io/abclabs,1,HTTP 404,2026-07-20T22:34:49.505486+00:00
greenhouse:absci,greenhouse,absci,https://boards.greenhouse.io/absci,1,HTTP 404,2026-07-23T22:35:53.508801+00:00
greenhouse:adaptivewater,greenhouse,adaptivewater,https://boards.greenhouse.io/adaptivewater,1,HTTP 404,2026-09-01T14:16:57.599841+00:00
greenhouse:affinity,greenhouse,affinity,https://boards.greenhouse.io/affinity,5,HTTP 404,2026-08-05T09:22:28.098175+00:00
greenhouse:aiserajobs,greenhouse,aiserajobs,https://boards.greenhouse.io/aiserajobs,0,HTTP 404,2026-07-08T09:11:17.294906+00:00
greenhouse:alpineinternships,greenhouse,alpineinternships,https://boards.greenhouse.io/alpineinternships,5,HTTP 404,2026-09-18T23:34:14.191188+00:00
greenhouse:alt,greenhouse,alt,https://boards.greenhouse.io/alt,1,HTTP 404,2026-09-01T14:17:01.339062+00:00
greenhouse:altisales,greenhouse,altisales,https://boards.greenhouse.io/altisales,0,HTTP 404,2026-07-08T09:11:18.378568+00:00
greenhouse:ambiententerprises,greenhouse,ambiententerprises,https://boards.greenhouse.io/ambiententerprises,3,HTTP 404,2026-09-09T23:29:56.382495+00:00
greenhouse:amenitiz,greenhouse,amenitiz,https://boards.greenhouse.io/amenitiz,1,HTTP 404,2026-08-05T09:22:30.975516+00:00
greenhouse:arcadiacareers,greenhouse,arcadiacareers,https://boards.greenhouse.io/arcadiacareers,1,HTTP 404,2026-09-01T18:48:46.127378+00:00
greenhouse:arenaim,greenhouse,arenaim,https://boards.greenhouse.io/arenaim,1,HTTP 404,2026-08-05T11:43:45.839354+00:00
greenhouse:arine,greenhouse,arine,https://boards.greenhouse.io/arine,1,HTTP 404,2026-07-21T03:59:05.082834+00:00
greenhouse:armracolostrum,greenhouse,armracolostrum,https://boards.greenhouse.io/armracolostrum,4,HTTP 404,2026-08-16T07:17:20.341702+00:00
greenhouse:ascendanalytics,greenhouse,ascendanalytics,https://boards.greenhouse.io/ascendanalytics,4,HTTP 404,2026-07-27T04:26:30.323768+00:00
greenhouse:attune,greenhouse,attune,https://boards.greenhouse.io/attune,4,HTTP 404,2026-08-02T08:58:07.571140+00:00
greenhouse:aurorainnovation,greenhouse,aurorainnovation,https://boards.greenhouse.io/aurorainnovation,1,HTTP 404,2026-08-05T11:43:47.864256+00:00
greenhouse:baincapitalventures,greenhouse,baincapitalventures,https://boards.greenhouse.io/baincapitalventures,1,HTTP 404,2026-07-17T22:29:09.559718+00:00
greenhouse:beatboxbeveragesllc,greenhouse,beatboxbeveragesllc,https://boards.greenhouse.io/beatboxbeveragesllc,1,HTTP 404,2026-08-18T21:55:37.331586+00:00
greenhouse:beauhurst,greenhouse,beauhurst,https://boards.greenhouse.io/beauhurst,2,HTTP 404,2026-08-08T10:06:21.284374+00:00
greenhouse:bluecoreinc,greenhouse,bluecoreinc,https://boards.greenhouse.io/bluecoreinc,2,HTTP 404,2026-07-14T22:36:48.473088+00:00
greenhouse:brooklinen,greenhouse,brooklinen,https://boards.greenhouse.io/brooklinen,1,HTTP 404,2026-08-08T13:30:28.933585+00:00
greenhouse:burnt,greenhouse,burnt,https://boards.greenhouse.io/burnt,0,HTTP 404,2026-07-08T14:59:32.817087+00:00
greenhouse:butlr,greenhouse,butlr,https://boards.greenhouse.io/butlr,1,HTTP 404,2026-08-27T01:02:48.605522+00:00
